Year,Adjustments On Amalgamation Merger Demerger Others,Asset Turnover Ratio (%),Basic EPS (Rs.),Bonus Equity Share Capital,Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Capital Goods,Capital Work-In-Progress,Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year,Cash EPS (Rs.),Cash Earnings Retention Ratio (%),Close,Contingent Liabilities,Current Investments,Current Ratio (X),Deferred Tax Assets [Net],Deferred Tax Liabilities [Net],Diluted EPS (Rs.),Dividend / Share(Rs.),Dividend Payout Ratio (CP) (%),Dividend Payout Ratio (NP) (%),Dividend Remittance In Foreign Currency,EV/EBITDA (X),EV/Net Operating Revenue (X),Earnings Retention Ratio (%),Earnings Yield,Employees Cost,Enterprise Value (Cr.),Equity Share Capital,Expenditure In Foreign Currency,Fixed Assets,Foreign Exchange Gains / Losses,Intangible Assets,Interest,Inventories,Inventory Turnover Ratio (X),Long Term Borrowings,Long Term Loans And Advances,Long Term Provisions,MarketCap/Net Operating Revenue (X),Net Cash Used From Financing Activities,Net Cash Used In Investing Activities,Net CashFlow From Operating Activities,Net Inc/Dec In Cash And Cash Equivalents,Net Profit Margin (%),Net Profit/(Loss) For the Period,Net Profit/Loss Before Extraordinary Items And Tax,Net Profit/Share (Rs.),Non-Current Investments,Non-Current Investments Unquoted Book Value,Other Assets,Other Current Liabilities,Other Expenses,Other Income,Other Long Term Liabilities,Other Non-Current Assets,OtherCurrentAssets,P/L After Tax from Ordinary Activities,P/L Before Exceptional Items & Tax,"P/L Before Int., Excpt. Items & Tax","P/L Before Other Inc. , Int., Excpt. Items & Tax",P/L Before Tax,PBDIT Margin (%),PBDIT/Share (Rs.),PBIT Margin (%),PBIT/Share (Rs.),PBT Margin (%),PBT/Share (Rs.),Price/BV (X),Price/Net Operating Revenue,Quick Ratio (X),Raw Materials,Reserves and Surplus,Retention Ratios (%),Return on Assets (%),Return on Capital Employed (%),Return on Networth / Equity (%),Revenue from Operations/Share (Rs.),Short Term Borrowings,Short Term Loans And Advances,Short Term Provisions,"Stores, Spares And Loose Tools",Tangible Assets,Tax,Total Assets,Total Capital And Liabilities,Total Current Assets,Total Current Liabilities,Total Debt/Equity (X),Total Income From Operations,Total Non-Current Assets,Total Non-Current Liabilities,Total Reserves and Surplus,Total Share Capital,Total Shareholders Funds,Trade Payables,Trade Receivables,Trade/Other Goods,depreciat
Mar-04,0,37.97,11,16.6,77.38,77.38,15.44,118.63,72.78,37.12,72.78,13.01,23.18,30.96249962,205.15,0,0.67,7.28,0,11,10,76.82,90.82,50.74,22.07,7.85,9.18,0.04,91.07,8855.15,59.18,371.14,323.91,0.2,51.63,1.01,0,0,98.23,0,0,7.83,-171.35,-391.35,598.16,35.26,28.87,97.48,339.53,11,2250.36,2154.54,0,205.82,84.62,42.06,0,0,20,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,35.57,13.55,30.52,11.63,30.1,11.47,3.85,7.83,0.67,0,2231.96,9.17,10.96,13.63,14.21,38.09,0,127.08,154.27,0,153.65,0.02,2970,2970,388.45,580.56,0.04,5605.158182,2581.55,98.23,2231.96,59.22,2291.18,220.47,168.59,0,13.89
Jun-04,0,37.97,11,16.6,77.38,77.38,15.44,118.63,72.78,37.12,72.78,13.01,23.18,37.3125,205.15,0,0.67,7.28,0,11,10,76.82,90.82,50.74,22.07,7.85,9.18,0.04,95.26,8855.15,59.22,371.14,323.91,0.2,51.63,2.25,0,0,98.23,0,0,7.83,-171.35,-391.35,598.16,35.26,28.87,57.71,339.53,11,2250.36,2154.54,0,205.82,103.41,36.88,0,0,20,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,35.57,13.55,30.52,11.63,30.1,11.47,3.85,7.83,0.67,0,2231.96,9.17,10.96,13.63,14.21,38.09,0,127.08,154.27,0,153.65,6.34,2970,2970,388.45,580.56,0.04,5605.158182,2581.55,98.23,2231.96,59.22,2291.18,220.47,168.59,0,14.73
Sep-04,0,37.97,11,16.6,77.38,77.38,15.44,118.63,72.78,37.12,72.78,13.01,23.18,44.52500153,205.15,0,0.67,7.28,0,11,10,76.82,90.82,50.74,22.07,7.85,9.18,0.04,114.43,8855.15,59.3,371.14,323.91,0.2,51.63,0.82,0,0,98.23,0,0,7.83,-171.35,-391.35,598.16,35.26,28.87,90.75,339.53,11,2250.36,2154.54,0,205.82,94.2,42.73,0,0,20,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,35.57,13.55,30.52,11.63,30.1,11.47,3.85,7.83,0.67,0,2231.96,9.17,10.96,13.63,14.21,38.09,0,127.08,154.27,0,153.65,4.46,2970,2970,388.45,580.56,0.04,5605.158182,2581.55,98.23,2231.96,59.22,2291.18,220.47,168.59,0,15.35
Dec-04,0,37.97,11,16.6,77.38,77.38,15.44,118.63,72.78,37.12,72.78,13.01,23.18,42.99499893,205.15,0,0.67,7.28,0,11,10,76.82,90.82,50.74,22.07,7.85,9.18,0.04,118.09,8855.15,63.44,371.14,323.91,0.2,51.63,1.36,0,0,98.23,0,0,7.83,-171.35,-391.35,598.16,35.26,28.87,76.54,339.53,11,2250.36,2154.54,0,205.82,98.7,10.4,0,0,20,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,35.57,13.55,30.52,11.63,30.1,11.47,3.85,7.83,0.67,0,2231.96,9.17,10.96,13.63,14.21,38.09,0,127.08,154.27,0,153.65,2.52,2970,2970,388.45,580.56,0.04,5605.158182,2581.55,98.23,2231.96,59.22,2291.18,220.47,168.59,0,16.44
Mar-05,0,39.71,10.32,16.6,89.6,89.6,29.08,71.78,84.53,72.99,84.53,12.43,-26.43,46.5625,511.56,0,0.8,7.5,0,10.32,16,126.43,152.38,98.65,30.19,8.59,-52.38,0.03,126.24,12425.85,63.63,427.22,431.73,0,59.8,1.68,0,0,96.69,0,0,8.58,-493.71,239.51,265.74,11.54,22.75,76.76,338.93,10.32,2654.66,2622.08,0,171.19,99.45,15.26,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,28.44,12.9,23.77,10.78,23.42,10.62,4.34,8.58,0.8,0,2796.14,-52.38,9.03,11.13,11.51,45.33,0,158.52,173.93,0,300.15,2.93,3643.35,3643.35,549.46,685.04,0.03,5605.158182,3093.89,96.69,2796.14,63.84,2859.98,339.92,306.41,0,17.47
Jun-05,0,39.71,10.32,16.6,89.6,89.6,29.08,71.78,84.53,72.99,84.53,12.43,-26.43,48.6875,511.56,0,0.8,7.5,0,10.32,16,126.43,152.38,98.65,30.19,8.59,-52.38,0.03,132.27,12425.85,63.84,427.22,431.73,0,59.8,1.76,0,0,96.69,0,0,8.58,-493.71,239.51,265.74,11.54,22.75,85.22,338.93,10.32,2654.66,2622.08,0,171.19,186.79,21.49,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,28.44,12.9,23.77,10.78,23.42,10.62,4.34,8.58,0.8,0,2796.14,-52.38,9.03,11.13,11.51,45.33,0,158.52,173.93,0,300.15,-0.25,3643.35,3643.35,549.46,685.04,0.03,5605.158182,3093.89,96.69,2796.14,63.84,2859.98,339.92,306.41,0,18.3
Sep-05,0,39.71,10.32,16.6,89.6,89.6,29.08,71.78,84.53,72.99,84.53,12.43,-26.43,56.90750122,511.56,0,0.8,7.5,0,10.32,16,126.43,152.38,98.65,30.19,8.59,-52.38,0.03,157.84,12425.85,64,427.22,431.73,0,59.8,1.42,0,0,96.69,0,0,8.58,-493.71,239.51,265.74,11.54,22.75,89.39,338.93,10.32,2654.66,2622.08,0,171.19,127.15,11.97,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,28.44,12.9,23.77,10.78,23.42,10.62,4.34,8.58,0.8,0,2796.14,-52.38,9.03,11.13,11.51,45.33,0,158.52,173.93,0,300.15,3.14,3643.35,3643.35,549.46,685.04,0.03,5605.158182,3093.89,96.69,2796.14,63.84,2859.98,339.92,306.41,0,18.96
Dec-05,0,39.71,10.32,16.6,89.6,89.6,29.08,71.78,84.53,72.99,84.53,12.43,-26.43,67.38749695,511.56,0,0.8,7.5,0,10.32,16,126.43,152.38,98.65,30.19,8.59,-52.38,0.03,429.42,12425.85,64.33,427.22,431.73,0,59.8,4,0,0,96.69,0,0,8.58,-493.71,239.51,265.74,11.54,22.75,277.79,338.93,10.32,2654.66,2622.08,0,171.19,183.96,31.71,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,28.44,12.9,23.77,10.78,23.42,10.62,4.34,8.58,0.8,0,2796.14,-52.38,9.03,11.13,11.51,45.33,0,158.52,173.93,0,300.15,6.93,3643.35,3643.35,549.46,685.04,0.03,5605.158182,3093.89,96.69,2796.14,63.84,2859.98,339.92,306.41,0,50.84
Mar-06,0,81.4,19.74,16.6,79.64,79.64,64.88,163.63,106.22,107.3,106.22,24.03,33.6,81.77500153,331.01,0,0.98,17.83,0,19.74,16,66.4,80.84,98.39,20.1,5.32,19.16,0.04,288.35,16147.58,64.56,758,689.31,0,97.84,1.59,0,0,13.38,0,0,5.35,-641.79,-133.33,774.04,-1.08,21.04,134.76,653.83,19.74,1907.76,1323.33,0,235.13,176.14,21.22,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,26.49,24.84,21.91,20.55,21.55,20.21,6.3,5.35,0.98,0,2511.18,19.15,17.13,24.64,24.78,93.77,0,358.58,200.08,0,427.84,-1,3725.68,3725.68,1110.78,1135.1,0.01,5605.158182,2614.9,13.38,2511.18,64.69,2575.87,699.89,645.98,0,34.29
Jun-06,0,81.4,19.74,16.6,79.64,79.64,64.88,163.63,106.22,107.3,106.22,24.03,33.6,63.08250046,331.01,0,0.98,17.83,0,19.74,16,66.4,80.84,98.39,20.1,5.32,19.16,0.04,296.29,16147.58,64.69,758,689.31,0,97.84,5.73,0,0,13.38,0,0,5.35,-641.79,-133.33,774.04,-1.08,21.04,136.45,653.83,19.74,1907.76,1323.33,0,235.13,333.63,18.45,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,26.49,24.84,21.91,20.55,21.55,20.21,6.3,5.35,0.98,0,2511.18,19.15,17.13,24.64,24.78,93.77,0,358.58,200.08,0,427.84,6.38,3725.68,3725.68,1110.78,1135.1,0.01,5605.158182,2614.9,13.38,2511.18,64.69,2575.87,699.89,645.98,0,34.7
Sep-06,0,81.4,19.74,16.6,79.64,79.64,64.88,163.63,106.22,107.3,106.22,24.03,33.6,68.77500153,331.01,0,0.98,17.83,0,19.74,16,66.4,80.84,98.39,20.1,5.32,19.16,0.04,334.13,16147.58,64.83,758,689.31,0,97.84,2.91,0,0,13.38,0,0,5.35,-641.79,-133.33,774.04,-1.08,21.04,205.83,653.83,19.74,1907.76,1323.33,0,235.13,336.17,30.88,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,26.49,24.84,21.91,20.55,21.55,20.21,6.3,5.35,0.98,0,2511.18,19.15,17.13,24.64,24.78,93.77,0,358.58,200.08,0,427.84,5.44,3725.68,3725.68,1110.78,1135.1,0.01,5605.158182,2614.9,13.38,2511.18,64.69,2575.87,699.89,645.98,0,38.04
Dec-06,0,81.4,19.74,16.6,79.64,79.64,64.88,163.63,106.22,107.3,106.22,24.03,33.6,80.1875,331.01,0,0.98,17.83,0,19.74,16,66.4,80.84,98.39,20.1,5.32,19.16,0.04,363.7,16147.58,64.95,758,689.31,0,97.84,4.15,0,0,13.38,0,0,5.35,-641.79,-133.33,774.04,-1.08,21.04,266.14,653.83,19.74,1907.76,1323.33,0,235.13,218.39,46.55,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,26.49,24.84,21.91,20.55,21.55,20.21,6.3,5.35,0.98,0,2511.18,19.15,17.13,24.64,24.78,93.77,0,358.58,200.08,0,427.84,4.91,3725.68,3725.68,1110.78,1135.1,0.01,5605.158182,2614.9,13.38,2511.18,64.69,2575.87,699.89,645.98,0,44.04
Mar-07,0,76.91,16.6,81.69,51.6,51.6,50.84,212.86,380.94,106.22,380.94,19.29,58.94,72.84999847,418.65,0,1.39,29.84,0,16.6,8,41.06,47.7,98.4,16.45,5.97,52.3,0.05,380.68,22491.23,132.74,913.58,882.95,0.18,128.28,2.55,0,0,40.89,0,0,6.06,-381.57,-341.46,997.93,274.9,29.23,238.59,1177.69,16.6,1988.86,1988.86,0,144.52,226.64,64.4,0,0,275.5,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,36.27,20.6,31.54,17.91,31.24,17.74,6.67,6.06,1.39,0,3292.28,52.29,22.48,31.79,32.16,56.78,0,629.1,430.74,0,541.81,8.9,4899.67,4899.67,1998.02,1433.76,0.01,5605.158182,2901.65,40.89,3292.28,132.74,3425.02,858.5,712.48,0,46.37
Jun-07,0,76.91,16.6,81.69,51.6,51.6,50.84,212.86,380.94,106.22,380.94,19.29,58.94,85.98750305,418.65,0,1.39,29.84,0,16.6,8,41.06,47.7,98.4,16.45,5.97,52.3,0.05,370.08,22491.23,132.74,913.58,882.95,0.18,128.28,3.36,0,0,40.89,0,0,6.06,-381.57,-341.46,997.93,274.9,29.23,391.23,1177.69,16.6,1988.86,1988.86,0,144.52,214.83,297.59,0,0,275.5,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,36.27,20.6,31.54,17.91,31.24,17.74,6.67,6.06,1.39,0,3292.28,52.29,22.48,31.79,32.16,56.78,0,629.1,430.74,0,541.81,56.62,4899.67,4899.67,1998.02,1433.76,0.01,5605.158182,2901.65,40.89,3292.28,132.74,3425.02,858.5,712.48,0,49.76
Sep-07,0,76.91,16.6,81.69,51.6,51.6,50.84,212.86,380.94,106.22,380.94,19.29,58.94,75.13749695,418.65,0,1.39,29.84,0,16.6,8,41.06,47.7,98.4,16.45,5.97,52.3,0.05,416.85,22491.23,132.76,913.58,882.95,0.18,128.28,3.8,0,0,40.89,0,0,6.06,-381.57,-341.46,997.93,274.9,29.23,264.17,1177.69,16.6,1988.86,1988.86,0,144.52,243.2,43.25,0,0,275.5,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,36.27,20.6,31.54,17.91,31.24,17.74,6.67,6.06,1.39,0,3292.28,52.29,22.48,31.79,32.16,56.78,0,629.1,430.74,0,541.81,11.78,4899.67,4899.67,1998.02,1433.76,0.01,5605.158182,2901.65,40.89,3292.28,132.74,3425.02,858.5,712.48,0,50.04
Dec-07,0,76.91,16.6,81.69,51.6,51.6,50.84,212.86,380.94,106.22,380.94,19.29,58.94,82.41249847,418.65,0,1.39,29.84,0,16.6,8,41.06,47.7,98.4,16.45,5.97,52.3,0.05,437.9,22491.23,132.76,913.58,882.95,0.18,128.28,5.76,0,0,40.89,0,0,6.06,-381.57,-341.46,997.93,274.9,29.23,266.95,1177.69,16.6,1988.86,1988.86,0,144.52,257.43,56.1,0,0,275.5,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,36.27,20.6,31.54,17.91,31.24,17.74,6.67,6.06,1.39,0,3292.28,52.29,22.48,31.79,32.16,56.78,0,629.1,430.74,0,541.81,12.75,4899.67,4899.67,1998.02,1433.76,0.01,5605.158182,2901.65,40.89,3292.28,132.74,3425.02,858.5,712.48,0,52.73
Mar-08,0,79.67,11.72,81.69,48.22,48.22,67.78,419.03,686.88,380.94,686.88,14.98,40.06,63.3125,469.36,0,1.06,140.6,0,11.72,9,59.94,76.67,98.36,14.45,3.48,23.33,0.05,430.5,16043.84,133.03,1043.99,1144.32,0.11,189.37,6.15,0,0,25.33,0,0,3.62,-602.26,-148.53,1056.84,305.94,16.91,263.08,875.25,11.72,1797.34,1797.34,0,778.79,309.72,36.25,0,0,63.05,263.08,285.64,291.79,255.54,285.64,24.05,16.66,19.33,13.39,18.96,13.13,5.2,3.62,1.06,0,3079.85,23.32,13.47,24.09,24.29,69.26,0,980.34,723.54,0,535.92,22.56,5792.55,5792.55,2710.29,2552.39,0.01,1275.58,3082.26,25.33,3079.85,133.27,3213.12,1050.06,980.02,0,55.73
Jun-08,0,79.67,11.72,81.69,48.22,48.22,67.78,419.03,686.88,380.94,686.88,14.98,40.06,63.13750076,469.36,0,1.06,140.6,0,11.72,9,59.94,76.67,98.36,14.45,3.48,23.33,0.05,441.13,16043.84,133.27,1043.99,1144.32,0.11,189.37,3.36,0,0,25.33,0,0,3.62,-602.26,-148.53,1056.84,305.94,16.91,-13.54,875.25,11.72,1797.34,1797.34,0,778.79,477.52,34.81,0,0,63.05,-13.54,33.98,37.34,2.53,33.98,24.05,16.66,19.33,13.39,18.96,13.13,5.2,3.62,1.06,0,3079.85,23.32,13.47,24.09,24.29,69.26,0,980.34,723.54,0,535.92,47.52,5792.55,5792.55,2710.29,2552.39,0.01,1107.75,3082.26,25.33,3079.85,133.27,3213.12,1050.06,980.02,0,59.37
Sep-08,0,79.67,11.72,81.69,48.22,48.22,67.78,419.03,686.88,380.94,686.88,14.98,40.06,48.61249924,469.36,0,1.06,140.6,0,11.72,9,59.94,76.67,98.36,14.45,3.48,23.33,0.05,488.71,16043.84,133.74,1043.99,1144.32,0.11,189.37,2.56,0,0,25.33,0,0,3.62,-602.26,-148.53,1056.84,305.94,16.91,253.79,875.25,11.72,1797.34,1797.34,0,778.79,244.7,49.86,0,0,63.05,253.79,274.31,276.87,227.01,274.31,24.05,16.66,19.33,13.39,18.96,13.13,5.2,3.62,1.06,0,3079.85,23.32,13.47,24.09,24.29,69.26,0,980.34,723.54,0,535.92,20.52,5792.55,5792.55,2710.29,2552.39,0.01,1175.8,3082.26,25.33,3079.85,133.27,3213.12,1050.06,980.02,0,62.42
Dec-08,0,79.67,11.72,81.69,48.22,48.22,67.78,419.03,686.88,380.94,686.88,14.98,40.06,28.82500076,469.36,0,1.06,140.6,0,11.72,9,59.94,76.67,98.36,14.45,3.48,23.33,0.05,509.12,16043.84,133.93,1043.99,1144.32,0.11,189.37,3.3,0,0,25.33,0,0,3.62,-602.26,-148.53,1056.84,305.94,16.91,398.01,875.25,11.72,1797.34,1797.34,0,778.79,236.35,125.61,0,0,63.05,398.01,478.7,482,356.39,478.7,24.05,16.66,19.33,13.39,18.96,13.13,5.2,3.62,1.06,0,3079.85,23.32,13.47,24.09,24.29,69.26,0,980.34,723.54,0,535.92,80.69,5792.55,5792.55,2710.29,2552.39,0.01,1304.85,3082.26,25.33,3079.85,133.27,3213.12,1050.06,980.02,0,60.65
Mar-09,0,70.86,14.88,81.69,52.04,52.04,108.03,417.56,1365.83,686.88,1365.83,18.64,62.41,25.51250076,3317.46,0,1.47,227.45,1.45,14.88,7,37.59,47.08,110.65,7.88,2.48,52.92,0.08,459.66,11594.44,133.95,702.29,1274.54,0,248.12,1.9,87.01,53.73,26.89,0,0,2.66,-215.82,306.83,587.94,678.95,21.33,152.57,1193.92,14.88,562.75,562.75,0,854.83,225.02,44.17,0,0,143.1,152.57,184.14,186.04,141.87,184.14,31.46,21.95,26.08,18.19,25.53,17.81,3.57,2.66,1.44,0,3353.72,52.91,15.11,28.36,28.59,69.75,486.84,1447.42,377.95,0,608.86,31.57,6597.36,6597.36,4532.62,3080.78,0.15,1048.9,2064.74,28.34,3353.72,134.05,3487.77,1361.16,1489.26,0,62.4
Jun-09,0,70.86,14.88,81.69,52.04,52.04,108.03,417.56,1365.83,686.88,1365.83,18.64,62.41,46.48749924,3317.46,0,1.47,227.45,1.45,14.88,7,37.59,47.08,110.65,7.88,2.48,52.92,0.08,472.73,11594.44,134.05,702.29,1274.54,0,248.12,20.33,87.01,53.73,26.89,0,0,2.66,-215.82,306.83,587.94,678.95,21.33,192.94,1193.92,14.88,562.75,562.75,0,854.83,375.46,46.17,0,0,143.1,192.94,256.77,277.1,230.93,256.77,31.46,21.95,26.08,18.19,25.53,17.81,3.57,2.66,1.44,0,3353.72,52.91,15.11,28.36,28.59,69.75,486.84,1447.42,377.95,0,608.86,63.83,6597.36,6597.36,4532.62,3080.78,0.15,1145.54,2064.74,28.34,3353.72,134.05,3487.77,1361.16,1489.26,0,66.42
Sep-09,0,70.86,14.88,81.69,52.04,52.04,108.03,417.56,1365.83,686.88,1365.83,18.64,62.41,85.19999695,3317.46,0,1.47,227.45,1.45,14.88,7,37.59,47.08,110.65,7.88,2.48,52.92,0.08,496.72,11594.44,134.25,702.29,1274.54,0,248.12,15.23,87.01,53.73,26.89,0,0,2.66,-215.82,306.83,587.94,678.95,21.33,300.75,1193.92,14.88,562.75,562.75,0,854.83,369.69,47.87,0,0,143.1,300.75,345.1,360.33,312.46,345.1,31.46,21.95,26.08,18.19,25.53,17.81,3.57,2.66,1.44,0,3353.72,52.91,15.11,28.36,28.59,69.75,486.84,1447.42,377.95,0,608.86,44.35,6597.36,6597.36,4532.62,3080.78,0.15,1247.32,2064.74,28.34,3353.72,134.05,3487.77,1361.16,1489.26,0,68.45
