0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Jun '07,--,2361.14,,1456.62,--,2.70,--,97.74,41.51,252.49,--,--,--,-3.10,272.44,240.74,33.33,274.07,0.06,274.01,--,274.01,91.01,183.00,--,--,183.00,144.68,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Sep '07,--,2637.42,,1661.18,--,-24.88,--,72.99,49.23,275.60,--,--,--,-2.58,272.37,333.51,25.95,359.46,1.36,358.10,--,358.10,119.50,238.60,--,--,238.60,134.40,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Dec '07,--,2695.73,,1795.92,--,-6.77,--,84.59,41.83,297.13,--,--,--,-11.07,271.60,222.50,42.95,265.45,1.93,263.52,--,263.52,101.31,162.21,-0.29,51.18,213.39,137.60,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Mar '08,--,2275.89,,1487.18,--,-38.90,--,86.30,41.39,201.44,--,--,--,-6.29,284.59,220.18,20.44,240.62,1.81,238.81,--,238.81,66.96,171.85,0.12,-51.18,120.67,144.68,--,--,,--,--,,--,--,,7.12,49.19,,,--,--,--,,--,--,--
Jun '08,--,2304.67,,1619.10,--,34.65,--,108.11,33.53,--,--,--,--,-3.08,279.11,233.25,28.78,262.03,0.92,261.11,--,261.11,86.00,175.11,--,--,175.11,144.68,--,--,,--,--,,--,--,,7.12,49.19,,,--,--,--,,--,--,--
Sep '08,--,2548.43,,1907.28,--,-99.84,--,75.46,33.08,--,--,--,--,-4.49,326.16,310.78,22.10,332.88,5.87,327.01,--,327.01,81.00,246.01,--,-61.10,184.91,144.68,--,--,,--,--,,--,--,,7.12,49.19,,,--,--,--,,--,--,--
Dec '08,--,2103.10,,1298.11,--,88.12,--,76.15,31.89,--,--,--,--,-5.19,340.07,273.95,37.88,311.83,9.02,302.81,--,302.81,75.50,227.31,-1.94,-61.10,164.27,144.68,--,--,,--,--,,--,--,,7.17,49.55,,,--,--,--,,--,--,--
Mar '09,--,1883.41,,1240.13,--,1.56,--,94.64,31.29,--,--,--,--,-1.66,262.90,254.55,22.91,277.46,5.20,272.26,--,272.26,59.11,213.15,-0.04,-82.90,130.21,144.68,--,--,,--,--,,--,--,,7.27,50.26,,,--,--,--,,--,--,--
Jun '09,--,2338.47,,1417.20,--,47.68,--,112.91,33.08,--,--,--,--,-1.29,306.55,422.34,23.14,445.48,5.97,439.51,--,439.51,122.00,317.51,--,-24.02,293.49,144.68,--,--,,--,--,,--,--,,7.27,50.26,,,--,--,--,,--,--,--
Sep '09,--,2887.51,,1843.53,--,-36.53,--,107.38,33.58,--,--,--,--,-3.38,340.00,602.93,21.73,624.66,--,624.66,--,624.66,176.00,448.66,--,-45.83,402.83,144.68,--,--,,--,--,,--,--,,7.27,50.27,,,--,--,--,,--,--,--
Dec '09,--,3295.55,,2100.22,--,41.88,--,92.98,35.68,--,--,--,--,-5.12,342.06,687.85,35.13,722.98,0.02,722.96,--,722.96,202.00,520.96,--,-45.82,475.14,144.68,--,--,,--,--,,--,--,,7.27,50.27,,,--,--,--,,--,--,--
Mar '10,--,3399.45,,2337.28,--,-100.63,--,86.19,34.11,--,--,--,--,-5.88,305.39,742.99,42.50,785.49,-0.01,785.50,--,785.50,207.50,578.00,-3.52,-45.83,528.65,144.68,--,--,,--,--,,--,--,,7.28,50.30,,,--,--,--,,--,--,--
Jun '10,--,3890.06,,2556.19,--,86.89,--,126.39,31.82,--,--,--,--,-0.90,344.56,745.11,81.67,826.78,0.63,826.15,--,826.15,236.00,590.15,--,--,590.15,144.68,--,--,,--,--,,--,--,,7.27,50.26,,,--,--,--,,--,--,--
Sep '10,--,4341.82,,2942.74,--,-32.00,--,114.15,29.95,--,--,--,--,-2.47,422.23,867.22,83.71,950.93,0.65,950.28,--,950.28,268.20,682.08,--,--,682.08,289.36,--,--,,23.60,23.60,,23.60,23.60,,14.54,50.26,,,0.11,0.74,0.37,,14.26,99.26,49.29
Dec '10,--,4177.08,,2784.49,160.18,37.93,--,106.60,31.02,--,--,--,--,-4.14,242.70,818.30,99.46,917.76,0.36,917.40,--,917.40,250.29,667.11,--,--,667.11,289.36,--,--,,23.10,23.10,,23.10,23.10,,14.55,50.27,,,0.09,0.62,0.31,,14.28,99.38,49.35
Mar '11,148.23,4199.97,,3029.77,122.68,-175.61,--,129.64,30.05,--,--,--,--,-9.15,241.14,831.45,100.97,932.42,0.05,932.37,724.55,1656.92,256.53,1400.39,--,--,1400.39,289.37,--,--,,48.40,48.40,,48.40,48.40,,14.44,49.91,,,0.07,0.51,0.26,,14.40,99.49,49.76
Jun '11,190.38,4777.29,,3175.41,176.28,114.77,--,138.89,30.64,--,--,--,--,-1.40,262.50,880.20,73.09,953.29,0.23,953.06,--,953.06,242.00,711.06,--,--,711.06,289.37,--,--,,24.60,24.60,,24.60,24.60,,14.44,49.98,,,0.06,0.44,0.22,,14.41,99.56,49.80
Sep '11,220.78,5267.26,,3603.65,199.44,-41.53,--,131.08,39.42,--,--,--,--,-11.24,328.49,1017.95,74.48,1092.43,20.22,1072.21,-95.41,976.80,251.00,725.80,--,--,725.80,289.37,--,--,,25.10,25.10,,25.10,25.10,,14.46,49.98,,,0.04,0.30,0.15,,14.43,99.70,49.87
Dec '11,223.21,5063.16,,3356.24,203.99,3.38,--,132.04,32.14,--,--,--,--,-16.45,322.56,1029.26,90.81,1120.07,0.02,1120.05,-58.86,1061.19,266.00,795.19,--,--,795.19,289.37,--,--,,27.50,27.50,,27.50,27.50,,14.44,49.91,,,0.02,0.16,0.08,,14.45,99.84,49.94
Mar '12,135.89,4651.44,,3311.98,171.44,-170.77,--,119.56,43.42,--,--,--,--,-20.34,319.02,877.13,139.49,1016.62,1.77,1014.85,20.27,1035.12,263.12,772.00,--,--,772.00,289.37,--,--,,26.70,26.70,,26.70,26.70,,14.45,49.92,,,0.27,1.84,0.92,,14.21,98.16,49.10
Jun '12,152.02,4865.66,,3200.76,191.73,115.55,--,160.40,35.24,--,--,--,--,-10.66,336.18,836.46,181.97,1018.43,0.04,1018.39,--,1018.39,300.00,718.39,--,--,718.39,289.37,--,--,,24.80,24.80,,24.80,24.80,,14.46,49.98,,,0.27,1.84,0.92,,14.21,98.16,49.10
Sep '12,155.33,4972.40,,3446.23,212.64,-90.24,--,153.22,41.04,--,--,--,--,-12.53,347.87,874.17,166.72,1040.89,0.22,1040.67,--,1040.67,300.00,740.67,--,--,740.67,289.37,--,--,,25.60,25.60,,25.60,25.60,,14.46,49.98,,,0.02,0.14,0.07,,14.45,99.86,49.95
Dec '12,105.51,5412.71,,3582.86,205.33,132.88,--,159.23,41.08,--,--,--,--,-15.34,336.00,970.67,203.19,1173.86,0.10,1173.76,--,1173.76,355.02,818.74,--,--,818.74,289.37,--,--,,28.30,28.30,,28.30,28.30,,14.46,49.98,,,0.02,0.12,0.06,,14.46,99.88,49.96
Mar '13,95.43,4746.48,,3293.89,249.13,-134.19,--,166.63,46.61,--,--,--,--,-24.32,358.75,789.98,243.61,1033.59,0.18,1033.41,--,1033.41,267.64,765.77,--,--,765.77,289.37,--,--,,26.50,26.50,,26.50,26.50,,14.46,49.98,,,0.01,0.10,0.05,,14.46,99.90,49.97
Jun '13,102.36,4911.09,,3141.43,203.07,62.16,--,183.65,44.39,--,--,--,--,-18.15,432.22,862.32,175.60,1037.92,0.09,1037.83,--,1037.83,300.15,737.68,--,--,737.68,289.37,--,--,,25.50,25.50,,25.50,25.50,,14.46,49.98,,,0.01,0.06,0.03,,14.46,99.94,49.99
Sep '13,113.40,5174.89,,3254.00,232.29,-17.72,--,183.38,44.29,--,--,--,--,-13.92,404.90,1087.67,124.16,1211.83,0.04,1211.79,--,1211.79,374.63,837.16,--,--,837.16,289.37,--,--,,28.90,28.90,,28.90,28.90,,14.46,49.98,,,0.01,0.06,0.03,,14.46,99.94,49.99
Dec '13,106.48,5131.24,,3335.40,234.54,-3.67,--,184.79,45.95,--,--,--,--,-19.79,264.79,1089.23,221.84,1311.07,0.19,1310.88,--,1310.88,406.33,904.55,--,--,904.55,289.37,--,--,,31.30,31.30,,31.30,31.30,,14.46,49.98,,,0.01,0.06,0.03,,14.47,99.94,49.99
Mar '14,109.63,4932.29,,3205.64,289.20,-59.67,--,174.76,44.48,--,--,--,--,-13.04,404.01,886.91,184.81,1071.72,0.17,1071.55,--,1071.55,308.99,762.56,1.37,--,763.93,289.37,--,--,,26.40,26.40,,26.40,26.40,,14.46,49.98,,,0.01,0.06,0.03,,14.47,99.94,49.99
Jun '14,119.04,5252.41,,3363.11,244.82,72.29,--,214.57,69.20,--,--,--,--,-12.62,445.11,855.93,219.27,1075.20,0.11,1075.09,--,1075.09,335.11,739.98,--,--,739.98,289.37,--,--,,25.60,25.60,,25.60,25.60,,14.46,49.98,,,0.01,0.06,0.03,,14.47,99.94,49.99
Sep '14,136.24,5963.09,,3837.90,290.33,-18.18,--,210.24,68.62,--,--,--,--,-15.97,531.99,1058.16,113.61,1171.77,0.05,1171.72,-340.29,831.43,240.53,590.90,--,--,590.90,289.37,--,--,,20.40,20.40,,20.40,20.40,,14.46,49.98,,,0.01,0.06,0.03,,14.47,99.94,49.99
Dec '14,137.16,5657.17,,3537.24,317.74,7.00,--,213.92,65.77,--,--,--,--,-13.39,367.83,1161.06,95.27,1256.33,0.07,1256.26,--,1256.26,395.02,861.24,--,--,861.24,289.37,--,--,,29.80,29.80,,29.80,29.80,,14.46,49.98,,,0.08,0.06,0.03,,14.47,99.94,49.99
Mar '15,115.64,4739.34,,3014.54,301.68,-118.67,--,258.57,63.81,--,--,--,--,-18.07,463.48,774.00,154.27,928.27,6.26,922.01,--,922.01,300.39,621.62,--,--,621.62,289.37,--,--,,21.50,21.50,,21.50,21.50,,14.69,50.76,,,--,--,--,,14.25,100.00,49.24
Jun '15,108.43,5881.24,,3404.58,270.68,97.49,--,243.41,78.41,--,--,--,--,--,724.84,1061.83,306.26,1368.09,0.11,1367.98,--,1367.98,410.62,957.36,--,--,957.36,289.37,--,--,,33.10,33.10,,33.10,33.10,,14.69,50.76,,,0.01,0.06,0.03,,14.24,99.94,49.21
Sep '15,117.15,6079.92,,3758.40,319.18,-22.50,--,241.40,78.01,--,--,--,--,--,466.73,1238.70,267.98,1506.68,0.34,1506.34,--,1506.34,453.97,1052.37,--,--,1052.37,289.37,--,--,,36.40,36.40,,36.40,36.40,,--,--,,,--,--,--,,--,--,--
Dec '15,101.70,5547.83,,3383.43,345.26,-32.92,--,229.91,74.64,--,--,--,--,-3.66,454.18,1096.99,242.46,1339.45,0.21,1339.24,--,1339.24,368.63,970.61,--,--,970.61,289.37,--,--,,33.50,33.50,,33.50,33.50,,--,--,,,--,--,--,,--,--,--
Mar '16,107.53,5359.49,,3170.60,341.28,21.38,--,202.40,76.10,--,--,--,--,-5.20,475.67,1077.26,256.89,1334.15,0.39,1333.76,--,1333.76,384.43,949.33,--,--,949.33,289.37,--,--,,32.80,32.80,,32.80,32.80,,--,--,,,--,--,--,,--,--,--
Jun '16,104.34,5747.95,,3523.04,338.27,1.46,--,268.31,77.47,--,--,--,--,--,440.54,1098.86,267.06,1365.92,0.22,1365.70,--,1365.70,387.33,978.37,--,--,978.37,289.37,--,--,,33.80,33.80,,33.80,33.80,,--,--,,,--,--,--,,--,--,--
Sep '16,105.20,6054.72,,3750.47,340.57,-33.98,--,258.72,76.95,--,--,--,--,--,442.81,1219.18,342.02,1561.20,0.68,1560.52,--,1560.52,437.77,1122.75,--,--,1122.75,289.37,--,--,,38.80,38.80,,38.80,38.80,,--,--,,,--,--,--,,--,--,--
Dec '16,91.33,5066.89,,2992.32,323.71,68.02,--,242.72,77.17,--,--,--,--,--,396.21,966.74,319.29,1286.03,0.26,1285.77,--,1285.77,361.15,924.62,--,--,924.62,289.37,--,--,,32.00,32.00,,32.00,32.00,,--,--,,,--,--,--,,--,--,--
Mar '17,92.29,4897.32,,3019.53,379.92,-79.18,--,227.32,75.70,--,--,--,--,--,443.75,830.28,293.60,1123.88,0.24,1123.64,--,1123.64,321.82,801.82,--,--,801.82,289.37,--,--,,27.70,27.70,,27.70,27.70,,--,--,,,--,--,--,,--,--,--
Jun '17,113.89,5442.37,,3422.92,331.93,54.42,--,272.54,75.26,--,--,--,--,--,422.21,863.09,457.28,1320.37,0.24,1320.13,-32.00,1288.13,364.20,923.93,--,--,923.93,289.37,--,--,,31.90,31.90,,31.90,31.90,,--,--,,,--,--,--,,--,--,--
Sep '17,105.13,6566.43,,4116.70,325.97,106.54,--,264.39,76.97,--,--,--,--,--,467.92,1221.42,296.44,1517.86,0.47,1517.39,--,1517.39,405.53,1111.86,--,--,1111.86,289.37,--,--,,38.40,38.40,,38.40,38.40,,--,--,,,--,--,--,,--,--,--
Dec '17,123.11,6369.34,,3970.97,404.40,-20.70,--,265.19,74.68,--,--,--,--,--,518.03,1156.77,226.87,1383.64,0.30,1383.34,--,1383.34,430.90,952.44,--,--,952.44,289.37,--,--,,32.90,32.90,,32.90,32.90,,--,--,,,--,--,--,,--,--,--
Mar '18,122.49,6773.30,,4488.57,338.95,-130.58,--,266.97,87.89,--,--,--,--,--,494.15,1227.35,366.66,1594.01,0.30,1593.71,--,1593.71,513.84,1079.87,--,--,1079.87,289.37,--,--,,37.30,37.30,,37.30,37.30,,--,--,,,--,--,--,,--,--,--
Jun '18,152.10,7419.29,,4810.28,354.56,134.42,--,314.04,69.97,--,--,--,--,--,524.57,1211.45,404.41,1615.86,0.31,1615.55,--,1615.55,500.32,1115.23,--,--,1115.23,289.37,--,--,,38.50,38.50,,38.50,38.50,,--,--,,,--,--,--,,--,--,--
Sep '18,155.00,7986.79,,5415.26,413.93,-46.33,--,311.94,71.51,--,--,--,--,-6.20,555.24,1271.44,381.52,1652.96,0.31,1652.65,--,1652.65,500.17,1152.48,--,--,1152.48,289.37,--,--,,39.80,39.80,,39.80,39.80,,--,--,,,--,--,--,,--,--,--
Dec '18,166.29,7409.36,,5033.36,409.05,-45.25,--,316.86,63.38,--,--,--,--,-8.62,547.89,1092.69,469.98,1562.67,3.57,1559.10,--,1559.10,457.22,1101.88,--,--,1101.88,289.37,--,--,,38.10,38.10,,38.10,38.10,,--,--,,,--,--,--,,--,--,--
Mar '19,169.99,7395.19,,5042.45,401.84,-99.26,--,312.56,60.83,--,--,--,--,-10.92,586.27,1101.42,432.73,1534.15,0.29,1533.86,342.00,1875.86,570.27,1305.59,--,--,1305.59,289.37,--,--,,45.10,45.10,,45.10,45.10,,--,--,,,--,--,--,,--,--,--
Jun '19,190.81,7755.82,,5001.27,338.17,224.33,--,360.54,60.14,--,--,--,--,-5.47,638.77,1138.07,441.25,1579.32,0.54,1578.78,--,1578.78,453.11,1125.67,--,--,1125.67,289.37,--,--,,38.90,38.90,,38.90,38.90,,--,--,,,--,--,--,,--,--,--
Dec '20,179.78,8909.88,,5993.05,486.47,-171.28,--,317.18,65.00,--,--,--,--,-1.97,556.81,1664.62,369.18,2033.80,1.02,2032.78,--,2032.78,476.50,1556.28,--,--,1556.28,289.37,--,--,,53.80,53.80,,53.80,53.80,,--,--,,,--,--,--,,--,--,--
Mar '21,183.30,8596.10,,5845.38,597.76,-266.46,--,306.95,66.17,--,--,--,--,-5.66,594.03,1457.93,283.60,1741.53,2.04,1739.49,--,1739.49,407.42,1332.07,--,--,1332.07,289.37,--,--,,46.10,46.10,,46.10,46.10,,--,--,,,--,--,--,,--,--,--
Jun '21,169.47,7386.04,,4880.10,384.20,130.08,--,361.54,64.07,--,--,--,--,-2.10,512.44,1055.71,329.30,1385.01,2.29,1382.72,--,1382.72,321.54,1061.18,--,--,1061.18,289.37,--,--,,36.70,36.70,,36.70,36.70,,--,--,,,--,--,--,,--,--,--
Sep '21,376.40,8762.18,,5926.15,488.73,41.58,--,351.56,65.60,--,--,--,--,-5.70,558.74,1335.52,318.32,1653.84,1.70,1652.14,--,1652.14,377.59,1274.55,--,--,1274.55,289.37,--,--,,44.10,44.10,,44.10,44.10,,--,--,,,--,--,--,,--,--,--
Dec '21,216.15,9021.65,,6036.97,540.72,165.56,--,339.85,69.83,--,--,--,--,-3.19,569.60,1302.31,272.76,1575.07,1.79,1573.28,--,1573.28,359.09,1214.19,--,--,1214.19,289.37,--,--,,42.00,42.00,,42.00,42.00,,--,--,,,--,--,--,,--,--,--
Mar '22,246.71,7974.84,,5326.66,558.33,-149.26,--,305.85,69.67,--,--,--,--,-2.32,569.98,1295.93,288.86,1584.79,2.88,1581.91,315.28,1897.19,428.24,1468.95,--,--,1468.95,289.37,--,--,,50.80,50.80,,50.80,50.80,,--,--,,,--,--,--,,--,--,--
Jun '22,236.08,8004.97,,5435.38,468.39,-126.13,--,379.59,67.33,--,--,--,--,-5.05,555.77,1229.69,319.32,1549.01,4.34,1544.67,--,1544.67,371.37,1173.30,--,--,1173.30,289.37,--,--,,40.60,40.60,,40.60,40.60,,--,--,,,--,--,--,,--,--,--
Sep '22,291.71,10202.77,,6940.50,489.55,56.03,--,352.17,67.00,--,--,--,--,-3.73,609.51,1691.74,333.15,2024.89,10.92,2013.97,--,2013.97,483.97,1530.00,--,--,1530.00,283.65,--,--,,53.50,53.50,,53.50,53.50,,--,--,,,--,--,--,,--,--,--
Dec '22,--,9315.14,,5764.96,567.64,244.94,--,351.12,73.95,--,--,--,--,-6.59,616.26,1702.86,269.12,1971.98,8.48,1963.50,--,1963.50,472.08,1491.42,--,--,1491.42,282.96,--,--,,52.70,52.70,,52.70,52.70,,--,--,,,--,--,--,,--,--,--
Mar '23,273.17,8904.72,,5868.17,618.27,-272.95,--,362.02,74.16,--,--,--,--,-12.45,625.09,1642.41,259.83,1902.24,15.74,1886.50,--,1886.50,453.62,1432.88,--,--,1432.88,282.96,--,--,,50.70,50.70,,50.70,50.70,,--,--,,,--,--,--,,--,--,--
Jun '23,261.18,10309.77,,6696.96,595.16,120.53,--,384.16,83.53,--,--,--,--,-19.74,578.77,1870.40,346.33,2216.73,12.09,2204.64,--,2204.64,539.87,1664.77,--,--,1664.77,282.96,--,--,,58.90,58.90,,58.90,58.90,,--,--,,,--,--,--,,--,--,--
Sep '23,--,10777.27,,7222.54,623.12,-194.60,--,381.61,87.63,--,--,--,--,--,611.75,2045.22,361.35,2406.57,6.53,2400.04,--,2400.04,563.90,1836.14,--,--,1836.14,282.96,--,--,,64.90,64.90,,64.90,64.90,,--,--,,,--,--,--,,--,--,--
Dec '23,--,12113.51,,7890.77,648.68,70.11,--,384.56,88.12,--,--,--,--,--,689.52,2341.75,346.11,2687.86,12.10,2675.76,--,2675.76,633.88,2041.88,--,--,2041.88,283.18,--,--,,72.20,72.20,,72.20,72.20,,--,--,,,--,--,--,,--,--,--
Mar '24,--,11484.68,,7458.32,678.34,-66.49,--,387.23,90.56,--,--,--,--,-14.59,735.62,2215.69,348.66,2564.35,22.78,2541.57,--,2541.57,605.57,1936.00,--,--,1936.00,279.18,--,--,,68.50,68.50,,68.50,68.50,,--,--,,,--,--,--,,--,--,--
Jun '24,--,11928.02,,7516.60,664.96,171.10,--,434.96,93.69,--,--,--,--,--,725.14,2321.57,320.94,2642.51,20.67,2621.84,--,2621.84,633.50,1988.34,--,--,1988.34,279.18,--,--,,71.20,71.20,,71.20,71.20,,--,--,,,--,--,--,,--,--,--
