0,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,others,Other Income,EXPENDITURE,Interest Expended,Employees Cost,Other Expenses,Depreciation,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),ANALYTICAL RATIOS,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,NPA Ratios :,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).,yrc
Sep '19,14304.00,3725.89,136.22,399.19,4194.22,,10507.87,2141.32,3236.23,--,6874.10,2506.87,--,4367.23,3712.27,654.96,--,--,654.96,1292.15,106269.32,--,,0.30,--,--,,1.01,1.00,,1.01,1.00,,45638.79,10916.40,6.37,1.60,0.27,,--,--,,,--,--,--,,--,--,--,201909
Dec '19,14795.57,3678.93,184.24,405.54,4573.98,,10518.96,1942.11,3628.56,--,7548.63,2083.20,--,5465.43,1318.97,4146.46,--,--,4146.46,1294.08,110659.00,--,,0.31,--,--,,6.41,6.30,,6.41,6.30,,43453.86,10388.50,5.95,1.49,1.68,,--,--,,,--,--,--,,--,--,--,201912
Mar '20,14835.12,3622.95,214.21,516.40,4254.98,,10261.79,2234.51,3557.27,--,7390.09,5967.44,--,1422.65,201.29,1221.36,--,--,1221.36,1294.76,112091.29,--,,0.31,--,--,,1.89,1.86,,1.89,1.86,,41409.16,10113.86,5.53,1.41,0.49,,--,--,,,--,--,--,,--,--,--,202003
Jun '20,14576.67,4190.71,444.82,712.15,6142.60,,10644.60,2166.08,2479.82,--,10776.45,7593.95,--,3182.50,583.35,2599.15,--,--,2599.15,1295.41,114205.75,--,,0.34,--,--,,4.01,3.98,,4.01,3.98,,40386.24,8674.65,5.46,1.23,0.95,,--,--,,,--,--,--,,--,--,--,202006
Sep '20,14037.91,4313.78,421.13,849.64,4028.31,,10256.37,1967.34,3165.97,--,8261.09,2995.27,--,5265.82,1014.49,4251.33,--,--,4251.33,1379.46,133154.55,--,,0.34,--,--,,6.35,6.29,,6.35,6.29,,38989.19,7187.51,5.17,1.00,1.50,,--,--,,,--,--,--,,--,--,--,202009
Dec '20,14034.81,4120.45,458.13,1116.40,4686.27,,9817.33,1949.93,3829.04,--,8819.76,2741.72,--,6078.04,1138.45,4939.59,--,--,4939.59,1380.95,138269.45,--,,0.34,--,--,,7.16,7.05,,7.16,7.05,,34860.43,4860.55,4.38,0.63,1.70,,--,--,,,--,--,--,,--,--,--,202012
Mar '21,14639.42,3914.84,307.83,979.58,4111.35,,9410.54,2008.43,3994.22,--,8539.83,2883.47,--,5656.36,1253.75,4402.61,--,--,4402.61,1383.41,143029.08,--,,0.34,--,--,,6.37,6.25,,6.37,6.25,,41373.42,9180.20,4.96,1.14,1.51,,--,--,,,--,--,--,,--,--,--,202103
Jun '21,14984.58,4041.51,140.77,1216.55,3995.86,,9447.65,2374.39,3662.83,--,8894.40,2851.69,--,6042.71,1426.69,4616.02,--,--,4616.02,1385.22,147894.71,--,,0.20,--,--,,6.67,6.54,,6.67,6.54,,43148.28,9305.83,5.15,1.16,1.54,,--,--,,,--,--,--,,--,--,--,202106
Sep '21,15738.09,4098.07,259.50,1137.98,4797.18,,9543.90,2384.59,4187.61,--,9914.72,2713.48,--,7201.24,1690.29,5510.95,--,--,5510.95,1387.09,152176.34,--,,0.20,--,--,,7.95,7.79,,7.95,7.79,,41437.41,8161.04,4.82,0.99,1.79,,--,--,,,--,--,--,,--,--,--,202109
Dec '21,16234.21,4050.30,547.58,1250.51,4987.07,,9846.56,2484.84,4590.02,--,10148.25,2007.30,--,8140.95,1947.14,6193.81,--,--,6193.81,1388.88,158389.81,--,,0.19,--,--,,8.93,8.74,,8.93,8.74,,37052.74,7343.88,4.13,0.85,1.90,,--,--,,,--,--,--,,--,--,--,202112
Mar '22,16876.68,4219.39,612.98,965.85,4737.42,,10070.34,2428.93,4620.11,--,10292.94,1068.95,--,9223.99,2205.28,7018.71,--,--,7018.71,1389.97,165659.93,--,,0.19,--,--,,10.10,9.90,,10.10,9.90,,33919.52,6960.89,3.60,0.76,2.11,,--,--,,,--,--,--,,--,--,--,202203
Jun '22,17634.32,4581.78,481.38,974.06,4665.20,,10461.52,2849.21,4717.12,--,10308.89,1143.82,--,9165.07,2260.13,6904.94,--,--,6904.94,1391.48,172904.46,--,,0.19,--,--,,9.93,9.75,,9.93,9.75,,33163.15,6656.15,3.41,0.70,1.98,,--,--,,,--,--,--,,--,--,--,202206
Sep '22,19928.87,5123.36,348.30,632.51,5054.87,,11246.23,2888.53,5272.83,--,11680.32,1644.52,--,10035.80,2477.96,7557.84,--,--,7557.84,1393.79,177407.93,--,,0.20,--,--,,10.86,10.64,,10.86,10.64,,32570.86,6099.29,3.19,0.61,2.06,,--,--,,,--,--,--,,--,--,--,202209
Dec '22,22180.28,5343.57,470.08,511.70,5023.63,,12040.65,2921.18,5296.21,--,13271.22,2257.44,--,11013.78,2701.93,8311.85,--,--,8311.85,1395.62,186042.33,--,,0.20,--,--,,11.92,11.68,,11.92,11.68,,32528.24,5651.22,3.07,0.55,2.20,,--,--,,,--,--,--,,--,--,--,202212
Mar '23,24199.50,5839.75,550.75,431.13,5087.75,,13354.34,3401.01,5527.15,--,13826.38,1619.80,--,12206.58,3084.71,9121.87,--,--,9121.87,1396.78,195495.25,--,,0.20,--,--,,13.07,12.83,,13.07,12.83,,31183.70,5155.07,2.81,0.48,2.39,,--,--,,,--,--,--,,--,--,--,202303
Jun '23,25844.15,6618.00,412.70,452.76,5435.25,,15101.15,3883.66,5638.93,--,14139.12,1292.44,--,12846.68,3198.48,9648.20,--,--,9648.20,1399.54,205587.83,--,,0.20,--,--,,13.80,13.54,,13.80,13.54,,31822.39,5381.77,2.76,0.48,2.39,,--,--,,,--,--,--,,--,--,--,202306
Sep '23,27118.87,7020.31,494.34,286.87,5776.68,,16612.48,3725.42,6129.90,--,14229.27,582.63,--,13646.64,3385.64,10261.00,--,--,10261.00,1400.83,210508.56,--,,0.21,--,--,,14.66,14.40,,14.66,14.40,,29836.94,5046.47,2.48,0.43,2.41,,--,--,,,--,--,--,,--,--,--,202309
Dec '23,28557.51,7210.67,454.19,472.21,6097.06,,18016.03,3812.67,6239.32,--,14723.62,1049.37,--,13674.25,3402.71,10271.54,--,--,10271.54,1403.18,221.13,--,,0.22,--,--,,14.65,14.40,,14.65,14.40,,28774.63,5378.48,2.30,0.44,2.32,,--,--,,,--,--,--,,--,--,--,202312
Mar '24,29423.40,7782.01,430.16,312.79,5648.78,,18855.56,3720.24,5982.59,--,15038.75,718.49,--,14320.26,3612.73,10707.53,--,--,10707.53,1404.68,232505.97,--,,0.22,--,--,,15.26,14.99,,15.26,14.99,,27961.68,5377.79,2.16,0.42,2.36,,--,--,,,--,--,--,,--,--,--,202403
Jun '24,30108.54,8156.58,443.00,287.66,7001.92,,19442.87,4370.51,6159.48,--,16024.84,1332.18,--,14692.66,3633.55,11059.11,--,--,11059.11,1407.45,247987.56,--,,0.22,--,--,,15.73,15.46,,15.73,15.46,,28718.63,5684.79,2.15,0.43,2.36,,--,--,,,--,--,--,,--,--,--,202406
