Year,Basic EPS (Rs.),Book Value /Share (Rs.),Close,EV/EBITDA (X),Employees Cost,Net Profit Margin (%),Net Profit/(Loss) For the Period,Net Profit/Share (Rs.),Net Sales/Income from operations,Other Expenses,Other Income,PBDIT Margin (%),PBDIT/Share (Rs.),Quick Ratio (X),Return on Assets (%),Return on Capital Employed (%),Return on Networth / Equity (%),depreciat
4-Mar,186.6,488.21,77.15937805,18.38,620.53,26.11,337.05,186.6,1308.9,69.36,3.18,35.73,255.31,1.65,24.2,38.22,38.22,62.08
4-Jun,186.6,488.21,86.31406403,18.38,691.27,26.11,394.47,186.6,1471.39,100.64,17.99,35.73,255.31,1.65,24.2,38.22,38.22,49.38
4-Sep,186.6,488.21,105.96875,18.38,779.55,26.11,454.85,186.6,1689.56,130.41,30.23,35.73,255.31,1.65,24.2,38.22,38.22,56.55
4-Dec,186.6,488.21,130.7312469,18.38,856.62,26.11,495.97,186.6,1798.52,103.53,46.77,35.73,255.31,1.65,24.2,38.22,38.22,69.38
5-Mar,70.21,193.72,141.0749969,24.25,854.56,27.69,559.09,70.21,1900.19,138.35,32.51,35.75,90.65,2.77,28.83,36.24,36.24,92.91
5-Jun,70.21,193.72,147.390625,24.25,913.64,27.69,523.85,70.21,1967.17,150.52,30.32,35.75,90.65,2.77,28.83,36.24,36.24,74.84
5-Sep,70.21,193.72,157.2062531,24.25,1004,27.69,592,70.21,2170,163,45,35.75,90.65,2.77,28.83,36.24,36.24,90
5-Dec,70.21,193.72,187.3031311,24.25,1141,27.69,642,70.21,2398,135,-2,35.75,90.65,2.77,28.83,36.24,36.24,109
6-Mar,87.72,249.89,186.3374939,25.21,1212,26.81,664,87.72,2493,168,70,34.7,113.51,2.73,26.56,35.1,35.1,134
6-Jun,87.72,249.89,192.4343719,25.21,1403,26.81,805,87.72,2867,212,129,34.7,113.51,2.73,26.56,35.1,35.1,97
6-Sep,87.72,249.89,231.2062531,25.21,1574,26.81,896,87.72,3273,222,66,34.7,113.51,2.73,26.56,35.1,35.1,110
6-Dec,87.72,249.89,280.2250061,25.21,1631,26.81,958,87.72,3454,257,60,34.7,113.51,2.73,26.56,35.1,35.1,129
7-Mar,66.05,195.14,252.3312531,23.81,1708,28.73,1124,66.05,3555,271,120,35.01,80.49,4.91,29.09,33.84,33.84,133
7-Jun,66.05,195.14,241.1312561,23.81,1815,28.73,1028,66.05,3551,296,255,35.01,80.49,4.91,29.09,33.84,33.84,134
7-Sep,66.05,195.14,236.59375,23.81,1946,28.73,1074,66.05,3862,476,143,35.01,80.49,4.91,29.09,33.84,33.84,133
7-Dec,66.05,195.14,221.2375031,23.81,1931,28.73,1186,66.05,3999,288,152,35.01,80.49,4.91,29.09,33.84,33.84,138
8-Mar,78.15,235.84,179.9875031,13.35,2115,28.56,1182,78.15,4235,257,133,36.08,98.71,3.28,25.95,33.13,33.13,142
8-Jun,78.15,235.84,217.1000061,13.35,2633,28.56,1262,78.15,4516,263,131,36.08,98.71,3.28,25.95,33.13,33.13,155
8-Sep,78.15,235.84,174.7562561,13.35,2424,28.56,1390,78.15,5066,326,77,36.08,98.71,3.28,25.95,33.13,33.13,161
8-Dec,78.15,235.84,139.4312439,13.35,2648,28.56,1598,78.15,5429,267,48,36.08,98.71,3.28,25.95,33.13,33.13,169
9-Mar,101.71,311.35,165.4875031,9,2609,28.71,1569,101.71,5253,260,248,36.55,129.51,4.72,27.5,32.6,32.66,209
9-Jun,101.71,311.35,222.0625,9,2506,28.71,1464,101.71,5104,264,265,36.55,129.51,4.72,27.5,32.6,32.66,201
9-Sep,101.71,311.35,288.2999878,9,2563,28.71,1438,101.71,5201,288,232,36.55,129.51,4.72,27.5,32.6,32.66,207
9-Dec,101.71,311.35,325.1375122,9,2578,28.71,1471,101.71,5335,322,222,36.55,129.51,4.72,27.5,32.6,32.66,205
10-Mar,101.1,383.9,326.9937439,16.85,2703,27.45,1430,112.25,5500,335,190,39.38,145.07,4.46,22.26,26.05,26.33,194
10-Jun,101.1,383.9,348.875,16.85,2859,27.45,1431,112.25,5758,423,237,39.38,145.07,4.46,22.26,26.05,26.33,180
10-Sep,101.1,383.9,381.3125,16.85,3092,27.45,1641,112.25,6425,473,248,39.38,145.07,4.46,22.26,26.05,26.33,187
10-Dec,101.1,383.9,430.34375,16.85,3208,27.45,1641,112.25,6534,452,275,39.38,145.07,4.46,22.26,26.05,26.33,184
11-Mar,112.26,426.85,405.1625061,18,3208,25.38,1730,147.56,6668,552,387,37.66,166.57,5.28,22.32,26.29,26.29,189
11-Jun,112.26,426.85,363.8062439,18,3534,25.38,1654,147.56,6905,273,415,37.66,166.57,5.28,22.32,26.29,26.29,191
11-Sep,112.26,426.85,316.6312561,18,3713,25.38,1822,147.56,7470,991,383,37.66,166.57,5.28,22.32,26.29,26.29,201
11-Dec,112.26,426.85,345.9562378,18,4175,25.38,2235,147.56,8696,1120,422,37.66,166.57,5.28,22.32,26.29,26.29,198
12-Mar,147.51,518.41,358.2875061,12.31,4051,27.1,2759,158.82,8183,1057,609,38.04,207.14,4.88,23.64,28.46,28.46,204
12-Jun,147.51,518.41,313.6499939,12.31,4765,27.1,2204,158.82,8909,889,459,38.04,207.14,4.88,23.64,28.46,28.46,214
12-Sep,147.51,518.41,316.8687439,12.31,4882,27.1,2342,158.82,9129,1482,628,38.04,207.14,4.88,23.64,28.46,28.46,238
12-Dec,147.51,518.41,289.8374939,12.31,5086,27.1,2265,158.82,9398,1495,481,38.04,207.14,4.88,23.64,28.46,28.46,248
13-Mar,158.76,628.21,361.1687622,11,5199,24.79,2305,178.22,9329,1499,647,35.98,230.49,4.82,21.18,25.15,25.28,256
13-Jun,158.76,628.21,312.3562622,11,5567,24.79,2250,178.22,9959,1629,563,35.98,230.49,4.82,21.18,25.15,25.28,250
13-Sep,158.76,628.21,376.625,11,6572,24.79,2326,178.22,11482,1948,503,35.98,230.49,4.82,21.18,25.15,25.28,257
13-Dec,158.76,628.21,435.7062378,11,6158,24.79,2735,178.22,11534,1968,708,35.98,230.49,4.82,21.18,25.15,25.28,285
14-Mar,178.39,735.87,410.3500061,10.82,6053,22.99,2883,105.96,11366,1819,802,34.06,264.04,3.83,19.33,24.01,24.21,409
14-Jun,178.39,735.87,406.9437561,10.82,6234,22.99,2720,105.96,11319,1888,790,34.06,264.04,3.83,19.33,24.01,24.21,192
14-Sep,178.39,735.87,468.46875,10.82,6340,22.99,3365,105.96,11863,1936,833,34.06,264.04,3.83,19.33,24.01,24.21,251
14-Dec,178.39,735.87,493.1375122,10.82,6358,22.99,3055,105.96,12192,2176,823,34.06,264.04,3.83,19.33,24.01,24.21,229
15-Mar,105.91,418.71,554.5875244,13.11,6183,25.71,3024,55.28,11926,2223,891,36.57,150.69,3.12,19.67,25.29,25.3,241
15-Jun,105.91,418.71,492.1749878,13.11,6807,25.71,2891,55.28,12738,2410,721,36.57,150.69,3.12,19.67,25.29,25.3,252
15-Sep,105.91,418.71,580.9749756,13.11,6987,25.71,3248,55.28,13525,2488,775,36.57,150.69,3.12,19.67,25.29,25.3,272
15-Dec,105.91,418.71,552.7000122,13.11,7115,25.71,3163,55.28,13562,2556,737,36.57,150.69,3.12,19.67,25.29,25.3,275
16-Mar,55.26,266.04,609.1500244,13.38,7297,23.51,3391,60.18,14158,2614,773,34.66,81.51,3.98,17.45,20.75,20.78,315
16-Jun,55.26,266.04,585.4000244,13.38,7605,23.51,3180,60.18,14420,2797,761,34.66,81.51,3.98,17.45,20.75,20.78,319
16-Sep,55.26,266.04,518.0250244,13.38,7939,23.51,3476,60.18,15000,2674,763,34.66,81.51,3.98,17.45,20.75,20.78,338
16-Dec,55.26,266.04,505.2999878,13.38,7733,23.51,3599,60.18,14949,2799,805,34.66,81.51,3.98,17.45,20.75,20.78,339
17-Mar,60.16,296.24,511.125,10.62,7667,23.3,3562,73.97,14920,2867,733,34.18,88.28,4.05,17.29,27.8,20.31,336
17-Jun,60.16,296.24,467.7749939,10.62,7752,23.3,3415,73.97,14971,2883,723,34.18,88.28,4.05,17.29,27.8,20.31,343
17-Sep,60.16,296.24,449.9500122,10.62,8015,23.3,3579,73.97,15356,2963,849,34.18,88.28,4.05,17.29,27.8,20.31,347
17-Dec,60.16,296.24,521.0250244,10.62,8287,23.3,6004,73.97,15631,2879,1811,34.18,88.28,4.05,17.29,27.8,20.31,354
18-Mar,71.28,290.76,565.9000244,10.84,8418,26.08,3157,33.75,15984,3449,636,34.41,97.6,3.78,21.29,31,25.44,363
18-Jun,71.28,290.76,653.5999756,10.84,8826,26.08,3503,33.75,17056,3790,716,34.41,97.6,3.78,21.29,31,25.44,374
18-Sep,71.28,290.76,730.0499878,10.84,9489,26.08,3879,33.75,18297,3909,742,34.41,97.6,3.78,21.29,31,25.44,390
18-Dec,71.28,290.76,658.9500122,10.84,9784,26.08,3501,33.75,18819,4443,756,34.41,97.6,3.78,21.29,31,25.44,406
19-Mar,33.66,143.96,743.8499756,14.3,10198,20.11,3820,36.5,18935,3994,639,29.44,49.42,3,18.62,31.38,23.44,429
19-Jun,33.66,143.96,732,14.3,10380,20.11,3569,36.5,19131,4106,713,29.44,49.42,3,18.62,31.38,23.44,510
19-Sep,33.66,143.96,805.6500244,14.3,10604,20.11,3829,36.5,19666,3973,604,29.44,49.42,3,18.62,31.38,23.44,542
19-Dec,33.66,143.96,731.1500244,14.3,10783,20.11,4076,36.5,20064,4102,798,29.44,49.42,3,18.62,31.38,23.44,544
20-Mar,36.34,146.16,641.5,11.4,10666,19.66,4069,42.37,20187,4399,585,28.76,53.39,2.88,19.17,31.28,24.97,548
20-Jun,36.34,146.16,735.9500122,11.4,11222,19.66,4008,42.37,20325,3626,478,28.76,53.39,2.88,19.17,31.28,24.97,546
20-Sep,36.34,146.16,1008.25,11.4,11053,19.66,4497,42.37,21046,3773,582,28.76,53.39,2.88,19.17,31.28,24.97,608
20-Dec,36.34,146.16,1255.800049,11.4,11371,19.66,5083,42.37,22043,4060,903,28.76,53.39,2.88,19.17,31.28,24.97,589
21-Mar,42.37,167.91,1368.050049,20.99,11532,21,4459,50.49,22497,4818,504,31.33,63.2,2.74,19.21,32.23,25.23,578
21-Jun,42.37,167.91,1580.800049,20.99,12191,21,4723,50.49,23714,4992,570,31.33,63.2,2.74,19.21,32.23,25.23,576
21-Sep,42.37,167.91,1675.199951,20.99,12734,21,5463,50.49,25462,5844,1052,31.33,63.2,2.74,19.21,32.23,25.23,601
21-Dec,42.37,167.91,1887.75,20.99,13275,21,5870,50.49,27337,6622,1013,31.33,63.2,2.74,19.21,32.23,25.23,631
22-Mar,50.27,164.78,1906.849976,25.44,13464,20.43,5177,56.09,27426,6993,590,29.87,73.83,2.1,21.36,38.46,30.63,620
22-Jun,50.27,164.78,1461.900024,25.44,14914,20.43,4901,56.09,29527,7682,648,29.87,73.83,2.1,21.36,38.46,30.63,643
22-Sep,50.27,164.78,1413.449951,25.44,15873,20.43,6253,56.09,31567,7751,1267,29.87,73.83,2.1,21.36,38.46,30.63,682
22-Dec,50.27,164.78,1508.199951,25.44,16395,20.43,6210,56.09,32389,8122,1177,29.87,73.83,2.1,21.36,38.46,30.63,713
23-Mar,55.48,163.32,1427.949951,16.95,15581,18.76,5904,65.62,30531,7002,766,27.86,83.3,1.9,22.96,43.03,34.34,714
23-Jun,55.48,163.32,1335.5,16.95,16353,18.76,5956,65.62,31811,7524,1001,27.86,83.3,1.9,22.96,43.03,34.34,746
23-Sep,55.48,163.32,1435.449951,16.95,16435,18.76,6245,,32629,8200,1350,27.86,83.3,1.9,22.96,43.03,34.34,738
23-Dec,55.48,163.32,1542.900024,16.95,16304,18.76,6552,,32491,8073,1582,27.86,83.3,1.9,22.96,43.03,34.34,738
